coddistrit,codsecc,coddistsecc,last_edited_date
8,41,0841,
12,26,1226,
3,36,0336,
8,33,0833,
2,50,0250,
7,37,0737,
8,24,0824,
7,13,0713,
3,32,0332,
3,50,0350,
2,35,0235,
6,14,0614,
13,30,1330,
7,6,0706,
13,10,1310,
12,18,1218,
13,7,1307,
3,17,0317,
11,22,1122,
7,41,0741,
7,5,0705,
1,34,0134,
12,19,1219,
7,24,0724,
11,24,1124,
11,51,1151,
7,16,0716,
7,4,0704,
1,22,0122,
6,15,0615,
1,23,0123,
8,36,0836,
3,33,0333,
8,22,0822,
12,30,1230,
8,13,0813,
2,13,0213,
2,6,0206,
8,9,0809,
12,15,1215,
11,5,1105,
2,8,0208,
12,28,1228,
7,31,0731,
12,13,1213,
12,40,1240,
3,38,0338,
12,16,1216,
7,32,0732,
7,36,0736,
12,14,1214,
12,36,1236,
7,14,0714,
7,23,0723,
3,15,0315,
2,36,0236,
12,9,1209,
7,12,0712,
13,1,1301,
7,9,0709,
6,12,0612,
2,33,0233,
12,39,1239,
7,25,0725,
11,17,1117,
2,47,0247,
15,19,1519,
16,22,1622,
15,11,1511,
15,7,1507,
15,6,1506,
15,5,1505,
16,1,1601,
16,18,1618,
15,22,1522,
16,15,1615,
15,31,1531,
16,24,1624,
15,27,1527,
5,38,0538,
15,25,1525,
5,36,0536,
5,34,0534,
5,4,0504,
4,16,0416,
5,37,0537,
14,13,1413,
5,16,0516,
14,12,1412,
5,1,0501,
5,25,0525,
14,5,1405,
14,15,1415,
6,16,0616,
4,22,0422,
14,1,1401,
5,7,0507,
4,7,0407,
11,37,1137,
6,18,0618,
4,4,0404,
4,8,0408,
5,28,0528,
11,36,1136,
4,5,0405,
11,35,1135,
4,6,0406,
1,3,0103,
13,26,1326,
13,24,1324,
11,42,1142,
6,8,0608,
3,25,0325,
6,1,0601,
6,11,0611,
6,3,0603,
3,26,0326,
3,21,0321,
13,14,1314,
13,11,1311,
13,16,1316,
3,19,0319,
3,2,0302,
7,1,0701,
1,28,0128,
13,8,1308,
7,2,0702,
7,17,0717,
1,26,0126,
3,18,0318,
10,41,1041,
3,34,0334,
5,21,0521,
15,35,1535,
9,9,0909,
19,13,1913,
2,3,0203,
15,36,1536,
15,8,1508,
15,8,1508,
5,39,0539,
5,42,0542,
11,6,1106,
4,26,0426,
10,34,1034,
17,3,1703,
19,14,1914,
2,51,0251,
3,23,0323,
4,21,0421,
11,34,1134,
13,22,1322,
3,7,0307,
6,23,0623,
9,36,0936,
9,31,0931,
9,38,0938,
9,40,0940,
10,30,1030,
10,48,1048,
11,44,1144,
10,29,1029,
10,51,1051,
10,25,1025,
8,39,0839,
15,38,1538,
12,45,1245,
12,21,1221,
12,6,1206,
14,16,1416,
15,33,1533,
12,46,1246,
12,41,1241,
12,42,1242,20221124120717
15,13,1513,
15,34,1534,
7,15,0715,
11,31,1131,
7,3,0703,
7,18,0718,
3,30,0330,
2,15,0215,
2,14,0214,
12,12,1212,
2,41,0241,
12,2,1202,
16,13,1613,
16,25,1625,
16,9,1609,
5,14,0514,
5,10,0510,
13,23,1323,
1,7,0107,
4,25,0425,20221123123754
17,2,1702,
4,15,0415,
14,23,1423,
16,11,1611,
15,14,1514,
4,18,0418,
15,37,1537,
3,46,0346,
11,2,1102,
16,29,1629,
16,30,1630,
4,27,0427,
4,17,0417,
4,28,0428,
14,20,1420,
18,5,1805,
18,6,1806,
18,3,1803,
18,9,1809,
18,7,1807,
6,4,0604,
12,1,1201,
11,8,1108,
17,1,1701,
6,17,0617,
1,13,0113,
16,19,1619,
7,21,0721,
12,47,1247,
15,40,1540,
15,39,1539,
15,28,1528,
8,42,0842,
7,40,0740,
7,39,0739,
7,42,0742,
2,42,0242,
8,6,0806,
12,34,1234,
7,26,0726,
12,8,1208,
10,26,1026,
9,39,0939,
8,21,0821,
2,10,0210,
8,34,0834,
9,25,0925,
10,18,1018,
10,54,1054,
11,47,1147,
8,31,0831,
9,7,0907,
8,20,0820,
10,16,1016,
10,36,1036,
10,19,1019,
2,19,0219,
8,19,0819,
10,46,1046,
10,10,1010,
10,14,1014,
10,8,1008,
9,30,0930,
10,39,1039,
9,13,0913,
11,55,1155,
14,19,1419,
5,18,0518,
7,22,0722,
7,10,0710,
2,55,0255,
11,45,1145,
10,22,1022,
9,8,0908,
19,9,1909,
12,11,1211,
12,33,1233,
13,25,1325,
16,23,1623,
3,13,0313,
16,21,1621,
16,20,1620,
11,38,1138,
11,39,1139,
11,50,1150,
11,33,1133,
14,10,1410,
17,1,1701,
17,6,1706,
10,3,1003,
17,7,1707,
17,1,1701,
19,3,1903,
19,11,1911,
10,31,1031,
9,34,0934,
9,37,0937,
19,5,1905,
17,1,1701,
11,26,1126,
19,7,1907,
19,8,1908,
19,16,1916,
16,32,1632,
10,33,1033,
12,35,1235,
2,9,0209,
8,26,0826,
2,18,0218,
13,20,1320,
3,1,0301,
11,19,1119,
3,4,0304,
1,25,0125,
6,9,0609,
11,1,1101,
11,48,1148,
19,4,1904,
8,29,0829,
4,3,0403,
8,23,0823,
9,10,0910,
10,24,1024,
10,32,1032,
3,48,0348,
7,20,0720,
12,20,1220,
3,29,0329,
13,5,1305,
13,29,1329,
13,9,1309,
1,30,0130,
2,4,0204,
12,25,1225,
2,57,0257,
7,19,0719,
2,45,0245,
12,3,1203,
15,15,1515,
15,23,1523,
15,30,1530,
15,3,1503,
16,28,1628,
14,6,1406,
5,11,0511,
6,22,0622,
11,53,1153,
15,36,1536,
4,24,0424,
12,10,1210,
1,12,0112,
1,10,0110,
14,2,1402,
4,1,0401,
5,9,0509,
14,14,1414,
16,3,1603,
16,12,1612,
16,26,1626,
16,14,1614,
10,7,1007,
8,28,0828,
9,5,0905,
8,15,0815,
19,1,1901,
18,4,1804,
3,27,0327,
18,8,1808,
2,1,0201,
10,35,1035,
8,12,0812,
10,52,1052,
11,11,1111,
11,15,1115,
5,13,0513,
5,2,0502,
2,39,0239,20220503064049
8,1,0801,20220504120312
8,4,0804,20220504120331
7,27,0727,20220504115256
11,28,1128,20221111120222
11,12,1112,20221114081522
4,29,0429,20221123122839
5,44,,20221123130059
5,41,0541,20221123130008
4,19,0419,20221123122607
10,55,1055,20221124120300
12,48,1248,20221124120910
16,33,1633,20221124121241
16,17,1617,20221124121150
10,40,1040,20221124120125
4,30,0430,20221124125350
